"task1","llama3.2:1b","default",8145161446,7018691519,46,220191520,15,905599221
"task1","gemma3:270m","default",6900709716,6337712545,30,105591944,14,456823393
"task1","qwen2.5:0.5b","default",2236843415,1355581666,50,103910033,26,768504992
"task1","llama3.2:1b","finetuned",13491380380,12748491636,46,202421428,11,539805968
"task1","gemma3:270m","finetuned",6954647397,6628346206,30,91710281,10,233939494
"task1","qwen2.5:0.5b","finetuned",2008786741,1491024992,50,82493489,15,431813460
"task2","llama3.2:1b","default",3601294579,3078302814,78,434985511,2,85173961
"task2","gemma3:270m","default",6807733489,6515703572,62,123285481,4,130085301
"task2","qwen2.5:0.5b","default",2240832169,1938215053,66,153063200,4,141429679
"task2","llama3.2:1b","finetuned",12775569320,12427708716,78,281930791,2,65066418
"task2","gemma3:270m","finetuned",6515019798,6278434980,62,88656751,5,114215630
"task2","qwen2.5:0.5b","finetuned",1355462256,1072161616,66,98480586,6,181803674
"task2","llama3.2:1b","default",13171664932,12811759539,82,287399929,2,71273975
"task2","gemma3:270m","default",6529265716,6243692284,66,117987423,5,138203633
"task2","qwen2.5:0.5b","default",1578290985,1420008732,70,106376301,2,48847713
"task2","llama3.2:1b","finetuned",12958184398,12454009116,82,328711114,4,174542615
"task2","gemma3:270m","finetuned",6491893399,6262742466,66,112031314,3,65200933
"task2","qwen2.5:0.5b","finetuned",2196002031,1962318682,70,110554469,4,119020969
"task2","llama3.2:1b","default",13518423539,13032651444,92,293902593,4,190693014
"task2","gemma3:270m","default",6479544586,6245192808,76,103437870,4,91930903
"task2","qwen2.5:0.5b","default",1297593515,1067168102,81,104857440,4,122294001
"task2","llama3.2:1b","finetuned",12928504130,12435553354,92,320787374,4,171216801
"task2","gemma3:270m","finetuned",6491924729,6267536716,76,99307012,4,90763128
"task2","qwen2.5:0.5b","finetuned",1274963452,1045784886,81,107010637,4,119340502
"task3","llama3.2:1b","default",6962034058,1434255790,327,833379204,87,4693042284
"task3","gemma3:270m","default",7640318007,6244647875,332,219438657,40,1143566019
"task3","qwen2.5:0.5b","default",3597098530,1379451902,320,399264477,52,1808922966
"task3","llama3.2:1b","finetuned",21181778968,12951879895,327,844393779,96,7383159916
"task3","gemma3:270m","finetuned",10261153819,7254523103,332,197678090,97,2768067405
"task3","qwen2.5:0.5b","finetuned",4495956486,1483173330,320,381893065,78,2626938316
